time,unit,real_sde
2015-01-01,0,0.578
2015-01-02,0,0.57
2015-01-03,0,0.56700003
2015-01-04,0,0.56100005
2015-01-05,0,0.556
2015-01-06,0,0.57100004
2015-01-07,0,0.586
2015-01-08,0,0.585
2015-01-09,0,0.58100003
2015-01-10,0,0.582
2015-01-11,0,0.775
2015-01-12,0,0.78700006
2015-01-13,0,0.795
2015-01-14,0,0.78200006
2015-01-15,0,0.77
2015-01-16,0,0.791
2015-01-17,0,0.78099996
2015-01-18,0,0.77
2015-01-19,0,0.762
2015-01-20,0,0.77099997
2015-01-21,0,0.78700006
2015-01-22,0,0.78200006
2015-01-23,0,0.77700007
2015-01-24,0,0.773
2015-01-25,0,0.765
2015-01-26,0,0.757
2015-01-27,0,0.75
2015-01-28,0,0.74200004
2015-01-29,0,0.791
2015-01-30,0,0.81700003
2015-01-31,0,0.81
2015-02-01,0,0.80300003
2015-02-02,0,0.79700005
2015-02-03,0,0.791
2015-02-04,0,0.785
2015-02-05,0,0.78
2015-02-06,0,0.78099996
2015-02-07,0,0.77800006
2015-02-08,0,0.806
2015-02-09,0,0.79800004
2015-02-10,0,0.786
2015-02-11,0,0.77900004
2015-02-12,0,0.773
2015-02-13,0,0.768
2015-02-14,0,0.763
2015-02-15,0,0.759
2015-02-16,0,0.756
2015-02-17,0,0.7720001
2015-02-18,0,0.773
2015-02-19,0,0.757
2015-02-20,0,0.753
2015-02-21,0,0.749
2015-02-22,0,0.746
2015-02-23,0,0.744
2015-02-24,0,0.757
2015-02-25,0,0.767
2015-02-26,0,0.768
2015-02-27,0,0.804
2015-02-28,0,0.799
2015-03-01,0,0.805
2015-03-02,0,0.84400004
2015-03-03,0,0.839
2015-03-04,0,0.835
2015-03-05,0,0.831
2015-03-06,0,0.827
2015-03-07,0,0.822
2015-03-08,0,0.8
2015-03-09,0,0.796
2015-03-10,0,0.79700005
2015-03-11,0,0.79300004
2015-03-12,0,0.78900003
2015-03-13,0,0.785
2015-03-14,0,0.78200006
2015-03-15,0,0.77900004
2015-03-16,0,0.77599996
2015-03-17,0,0.774
2015-03-18,0,0.77099997
2015-03-19,0,0.768
2015-03-20,0,0.80200005
2015-03-21,0,0.84300005
2015-03-22,0,0.85400003
2015-03-23,0,0.85
2015-03-24,0,0.84599996
2015-03-25,0,0.84200007
2015-03-26,0,0.839
2015-03-27,0,0.97400004
2015-03-28,0,0.97200006
2015-03-29,0,0.97099996
2015-03-30,0,0.964
2015-03-31,0,0.96300006
2015-04-01,0,0.957
2015-04-02,0,0.951
2015-04-03,0,0.945
2015-04-04,0,0.94
2015-04-05,0,0.935
2015-04-06,0,0.943
2015-04-07,0,0.93
2015-04-08,0,0.92300004
2015-04-09,0,0.91700006
2015-04-10,0,0.895
2015-04-11,0,0.87700003
2015-04-12,0,0.953
2015-04-13,0,0.946
2015-04-14,0,0.941
2015-04-15,0,0.935
2015-04-16,0,0.929
2015-04-17,0,0.924
2015-04-18,0,0.919
2015-04-19,0,0.91400003
2015-04-20,0,0.86700004
2015-04-21,0,0.821
2015-04-22,0,0.78099996
2015-04-23,0,0.775
2015-04-24,0,0.7720001
2015-04-25,0,0.835
2015-04-26,0,0.84800005
2015-04-27,0,0.84400004
2015-04-28,0,0.84
2015-04-29,0,0.84700006
2015-04-30,0,0.85800004
2015-05-01,0,0.89
2015-05-02,0,0.89
2015-05-03,0,0.886
2015-05-04,0,0.881
2015-05-05,0,0.881
2015-05-06,0,0.845
2015-05-07,0,0.799
2015-05-08,0,0.79200006
2015-05-09,0,0.791
2015-05-10,0,0.79200006
2015-05-11,0,0.791
2015-05-12,0,0.767
2015-05-13,0,0.735
2015-05-14,0,0.73200005
2015-05-15,0,0.73
2015-05-16,0,0.72200006
2015-05-17,0,0.804
2015-05-18,0,0.831
2015-05-19,0,0.825
2015-05-20,0,0.84700006
2015-05-21,0,0.833
2015-05-22,0,0.78300005
2015-05-23,0,0.786
2015-05-24,0,0.78200006
2015-05-25,0,0.766
2015-05-26,0,0.748
2015-05-27,0,0.72700006
2015-05-28,0,0.691
2015-05-29,0,0.77
2015-05-30,0,0.753
2015-05-31,0,0.827
2015-06-01,0,0.77900004
2015-06-02,0,0.796
2015-06-03,0,0.834
2015-06-04,0,0.799
2015-06-05,0,0.746
2015-06-06,0,0.67800003
2015-06-07,0,0.624
2015-06-08,0,0.572
2015-06-09,0,0.536
2015-06-10,0,0.482
2015-06-11,0,0.42299998
2015-06-12,0,0.36400002
2015-06-13,0,0.312
2015-06-14,0,0.269
2015-06-15,0,0.256
2015-06-16,0,0.23200001
2015-06-17,0,0.199
2015-06-18,0,0.16600001
2015-06-19,0,0.133
2015-06-20,0,0.101
2015-06-21,0,0.069
2015-06-22,0,0.042000003
2015-06-23,0,0.021000002
2015-06-24,0,0.009000001
2015-06-25,0,0.003
2015-06-26,0,0.0
2015-06-27,0,0.0
2015-06-28,0,0.0
2015-06-29,0,0.0
2015-06-30,0,0.0
2015-07-01,0,0.0
2015-07-02,0,0.0
2015-07-03,0,0.0
2015-07-04,0,0.0
2015-07-05,0,0.0
2015-07-06,0,0.0
2015-07-07,0,0.0
2015-07-08,0,0.0
2015-07-09,0,0.0
